class,tweet
1,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
0,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
0,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
0,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
0,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
0,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
0,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
0,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
0,""" &amp; you might not get ya bitch back &amp; thats that """
0,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
0,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
0,""" Murda Gang bitch its Gang Land """
0,""" So hoes that smoke are losers ? "" yea ... go on IG"
0,""" bad bitches is the only thing that i like """
0,""" bitch get up off me """
0,""" bitch nigga miss me with it """
0,""" bitch plz whatever """
0,""" bitch who do you love """
0,""" bitches get cut off everyday B """
0,""" black bottle &amp; a bad bitch """
0,""" broke bitch cant tell me nothing """
0,""" cancel that bitch like Nino """
0,""" cant you see these hoes wont change """
0,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
0,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
0,""" her pussy lips like Heaven doors "" &#128524;"
0,""" hoe what its hitting for """
0,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
0,""" i need a trippy bitch who fuck on Hennessy """
0,""" i spend my money how i want bitch its my business """
0,""" i txt my old bitch my new bitch pussy wetter """
0,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
0,""" if you aint bout that Murder Game pussy nigga shut up """
0,""" if you're toes ain't done you pussy stinks """
0,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
0,""" is that ya bitch """
0,""" it aint nothing to cut a bitch off """
0,""" jus meet son now he ya mane ass bitches "" #Shots"
0,""" lames crying over hoes thats tears of a clown """
0,""" like Snoop said in 94 we dont love these hoes """
1,""" momma said no pussy cats inside my doghouse """
0,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
0,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
0,""" pimps up pimps up hoes down "" Future voice"
0,""" post a picture of that pussy get 200 likes """
0,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
0,""" quick piece of pussy call it a drive by """
0,""" running round here like some brand new pussy thats bout to get fucked """
0,""" these bitches even worst they'll send them guys for you """
0,""" these hoes like niggas that spend money not talk bout it """
0,""" we dont trust these niggas all these bitches """
0,""" yall niggas b cuffing hoes cause yall aint never have bitches """
0,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
0,""" young Pill Chamberlain these bitches love my music """
0,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
0,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
0,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
0,"""&amp; he's gone always be a hoe"""
0,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
0,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
0,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
0,"""@A7XDemery: I'm a fucking fag they said"""
0,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
1,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
0,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
0,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
1,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
1,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
0,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
0,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
1,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
0,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
0,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
0,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
0,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
1,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
0,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
0,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
0,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
0,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
0,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
0,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
0,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
0,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
0,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
0,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
0,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
0,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
0,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
0,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
0,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
0,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
0,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
0,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
0,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
0,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
0,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
0,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
0,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
0,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
0,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
0,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
0,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
0,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
0,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
0,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
0,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
0,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
0,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
0,"""@Dietrich1892: Yall shut up:p"" make me bitch"
0,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
0,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
1,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
0,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
0,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
1,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
1,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
1,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
0,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
1,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
0,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
1,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
0,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
0,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
0,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
0,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
0,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
0,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
0,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
